kba |t0| |t1| |t2| |t3| |t4|
1.749571e+00 1.363047e-01 9.532269e-01 7.505301e-01 2.468964e-01 3.726084e-02
1.756652e+00 1.434065e-01 9.511521e-01 7.541039e-01 2.497565e-01 3.802140e-02
1.763734e+00 1.505006e-01 9.490332e-01 7.576608e-01 2.526309e-01 3.879299e-02
1.770815e+00 1.575866e-01 9.468700e-01 7.612003e-01 2.555194e-01 3.957569e-02
1.777897e+00 1.646642e-01 9.446627e-01 7.647224e-01 2.584218e-01 4.036957e-02
1.784979e+00 1.717330e-01 9.424115e-01 7.682268e-01 2.613382e-01 4.117471e-02
1.792060e+00 1.787926e-01 9.401163e-01 7.717131e-01 2.642683e-01 4.199118e-02
1.799142e+00 1.858428e-01 9.377772e-01 7.751813e-01 2.672120e-01 4.281906e-02
1.806223e+00 1.928830e-01 9.353944e-01 7.786311e-01 2.701692e-01 4.365842e-02
1.813305e+00 1.999130e-01 9.329680e-01 7.820621e-01 2.731398e-01 4.450933e-02
1.820386e+00 2.069324e-01 9.304979e-01 7.854743e-01 2.761236e-01 4.537185e-02
1.827468e+00 2.139409e-01 9.279844e-01 7.888673e-01 2.791205e-01 4.624607e-02
1.834549e+00 2.209381e-01 9.254275e-01 7.922410e-01 2.821304e-01 4.713205e-02
1.841631e+00 2.279235e-01 9.228274e-01 7.955951e-01 2.851532e-01 4.802986e-02
1.848712e+00 2.348970e-01 9.201840e-01 7.989294e-01 2.881886e-01 4.893956e-02
1.855794e+00 2.418581e-01 9.174976e-01 8.022436e-01 2.912367e-01 4.986122e-02
1.862876e+00 2.488065e-01 9.147681e-01 8.055375e-01 2.942972e-01 5.079492e-02
1.869957e+00 2.557417e-01 9.119959e-01 8.088110e-01 2.973700e-01 5.174070e-02
1.877039e+00 2.626636e-01 9.091808e-01 8.120637e-01 3.004550e-01 5.269865e-02
1.884120e+00 2.695716e-01 9.063232e-01 8.152955e-01 3.035521e-01 5.366881e-02
1.891202e+00 2.764655e-01 9.034230e-01 8.185061e-01 3.066610e-01 5.465125e-02
1.898283e+00 2.833449e-01 9.004804e-01 8.216953e-01 3.097817e-01 5.564604e-02
1.905365e+00 2.902095e-01 8.974955e-01 8.248629e-01 3.129140e-01 5.665323e-02
1.912446e+00 2.970588e-01 8.944684e-01 8.280087e-01 3.160578e-01 5.767288e-02
1.919528e+00 3.038926e-01 8.913993e-01 8.311324e-01 3.192130e-01 5.870505e-02
1.926609e+00 3.107106e-01 8.882883e-01 8.342339e-01 3.223793e-01 5.974980e-02
1.933691e+00 3.175122e-01 8.851355e-01 8.373128e-01 3.255566e-01 6.080719e-02
1.940773e+00 3.242974e-01 8.819410e-01 8.403691e-01 3.287449e-01 6.187726e-02
1.947854e+00 3.310655e-01 8.787050e-01 8.434025e-01 3.319439e-01 6.296007e-02
1.954936e+00 3.378164e-01 8.754276e-01 8.464127e-01 3.351535e-01 6.405569e-02
1.962017e+00 3.445497e-01 8.721089e-01 8.493996e-01 3.383735e-01 6.516415e-02
1.969099e+00 3.512650e-01 8.687492e-01 8.523629e-01 3.416039e-01 6.628550e-02
1.976180e+00 3.579621e-01 8.653484e-01 8.553025e-01 3.448444e-01 6.741981e-02
1.983262e+00 3.646405e-01 8.619068e-01 8.582181e-01 3.480949e-01 6.856712e-02
1.990343e+00 3.712999e-01 8.584246e-01 8.611096e-01 3.513552e-01 6.972747e-02
1.997425e+00 3.779400e-01 8.549018e-01 8.639766e-01 3.546252e-01 7.090092e-02
2.004506e+00 3.845604e-01 8.513385e-01 8.668191e-01 3.579048e-01 7.208750e-02
2.011588e+00 3.911609e-01 8.477351e-01 8.696367e-01 3.611937e-01 7.328727e-02
2.018670e+00 3.977410e-01 8.440916e-01 8.724294e-01 3.644918e-01 7.450027e-02
2.025751e+00 4.043005e-01 8.404081e-01 8.751968e-01 3.677990e-01 7.572653e-02
2.032833e+00 4.108390e-01 8.366849e-01 8.779389e-01 3.711152e-01 7.696610e-02
2.039914e+00 4.173561e-01 8.329220e-01 8.806553e-01 3.744400e-01 7.821903e-02
2.046996e+00 4.238516e-01 8.291197e-01 8.833460e-01 3.777734e-01 7.948534e-02
2.054077e+00 4.303252e-01 8.252781e-01 8.860106e-01 3.811153e-01 8.076508e-02
2.061159e+00 4.367764e-01 8.213974e-01 8.886491e-01 3.844654e-01 8.205828e-02
2.068240e+00 4.432050e-01 8.174777e-01 8.912612e-01 3.878236e-01 8.336499e-02
2.075322e+00 4.496106e-01 8.135193e-01 8.938467e-01 3.911898e-01 8.468522e-02
2.082403e+00 4.559929e-01 8.095222e-01 8.964054e-01 3.945637e-01 8.601903e-02
