w_norm abs_rho re_rho im_rho abs_S re_S im_S phase_rho_pi phase_S_pi 
0.717167 2.230551e+00 2.228706e+00 9.071850e-02 1.254703e+00 1.253162e+00 6.216691e-02 0.012950 0.015778
0.718168 2.234162e+00 2.232293e+00 9.138067e-02 1.257181e+00 1.255620e+00 6.262069e-02 0.013023 0.015862
0.719169 2.237800e+00 2.235906e+00 9.204984e-02 1.259677e+00 1.258096e+00 6.307925e-02 0.013097 0.015946
0.720170 2.241464e+00 2.239545e+00 9.272610e-02 1.262191e+00 1.260590e+00 6.354267e-02 0.013172 0.016032
0.721171 2.245154e+00 2.243210e+00 9.340955e-02 1.264723e+00 1.263102e+00 6.401102e-02 0.013247 0.016117
0.722172 2.248872e+00 2.246903e+00 9.410029e-02 1.267274e+00 1.265632e+00 6.448437e-02 0.013323 0.016204
0.723173 2.252617e+00 2.250622e+00 9.479843e-02 1.269843e+00 1.268181e+00 6.496278e-02 0.013400 0.016291
0.724174 2.256390e+00 2.254368e+00 9.550407e-02 1.272432e+00 1.270748e+00 6.544634e-02 0.013477 0.016379
0.725175 2.260190e+00 2.258142e+00 9.621732e-02 1.275040e+00 1.273334e+00 6.593511e-02 0.013555 0.016468
0.726176 2.264019e+00 2.261943e+00 9.693830e-02 1.277667e+00 1.275939e+00 6.642918e-02 0.013633 0.016557
0.727177 2.267877e+00 2.265773e+00 9.766711e-02 1.280314e+00 1.278563e+00 6.692861e-02 0.013712 0.016647
0.728178 2.271763e+00 2.269630e+00 9.840387e-02 1.282980e+00 1.281207e+00 6.743349e-02 0.013792 0.016738
0.729179 2.275678e+00 2.273517e+00 9.914869e-02 1.285667e+00 1.283870e+00 6.794390e-02 0.013873 0.016830
0.730180 2.279623e+00 2.277433e+00 9.990170e-02 1.288374e+00 1.286553e+00 6.845991e-02 0.013954 0.016922
0.731181 2.283597e+00 2.281377e+00 1.006630e-01 1.291101e+00 1.289257e+00 6.898162e-02 0.014036 0.017015
0.732182 2.287602e+00 2.285352e+00 1.014327e-01 1.293849e+00 1.291980e+00 6.950910e-02 0.014119 0.017109
